,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Sillaginodes punctatus,37330001,Actinopterygii,Perciformes,Sillaginidae,,Sillaginodes,punctatus,Australia,King George whiting,NW/SE/TE/SW,TL,0.00296,3.2,0,1.05587,FishBase,Species specific,South-East/West/Southwest/NA,,,,31.72,Australia,endemic,720,TL,3.3,3,benthic invertivore,Demersal,Soft sediment,Low,Day,2,18.00333,30,Y,C/R,,,,,280,,Y,,,,,,,270,,Y,,,,350,,Y
Sillago analis,37330003,Actinopterygii,Perciformes,Sillaginidae,,Sillago,analis,Australia,Goldenline whiting,NW/N/CS,TL,0.00851,3.09,0,1.02968,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,28.37,Australia/Papua.New.Guinea,native,450,SL,,,,,,,,,,,Y,C/R,,,,,,,Y,230,,Y,,,,,,,,,,,,
Sillago bassensis,37330002,Actinopterygii,Perciformes,Sillaginidae,,Sillago,bassensis,Australia,Southern school whiting,SW,TL,0.00851,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,invertebrate carnivore,,,36.5,Australia,endemic,330,SL,,,,,,,,,,,Y,C/R,,,,,,,Y,,,,,,,,,,,,,,,Y
Sillago ciliata,37330010,Actinopterygii,Perciformes,Sillaginidae,,Sillago,ciliata,Australia,Sand whiting,CS/TE/SE/Lord.Howe.Island,FL,0.0037,3.304,0,1,FishBase,Species specific,,,,Least Concern,27.63,Australia/New.Caledonia/Papua.New.Guinea,native,510,TL,3.2,3,benthic invertivore,Demersal,Soft sediment,Low,Day,2,19.27723,25,Y,C/R,,,,,,,Y,230,,Y,270,,Y,,,,,,,,,
Sillago flindersi,37330014,Actinopterygii,Perciformes,Sillaginidae,,Sillago,flindersi,Australia,Eastern school whiting,SW/SE/TE,TL,0.00851,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,,31.25,Australia,endemic,320,TL,,,,,,,,,,,Y,C/R,,,,,,,,,,,,,,,,,,,,,,
Sillago maculata,37330015,Actinopterygii,Perciformes,Sillaginidae,,Sillago,maculata,Australia,trumpeter whiting,SW/NW/N/CS/TE,TL,0.00761,3,,,FishBase,Species specific,,,,,24.24,Australia,endemic,300,TL,,,,,,,,,,,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Sillago robusta,37330005,Actinopterygii,Perciformes,Sillaginidae,,Sillago,robusta,Australia,Stout whiting,SW/TE/NW/N/CS,TL,0.00851,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/SEQ,,,,16.91,Australia,endemic,300,TL,3.2,4.333333,benthic invertivore,Demersal,Soft sediment,Low,Day,2,,26.66667,Y,C/R,,,,,,,Y,,,,,,,,,,,,,,,
Sillago schomburgkii,37330012,Actinopterygii,Perciformes,Sillaginidae,,Sillago,schomburgkii,Australia,Yellowfin whiting,SW,TL,0.00479,3.13,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,26.26,Australia,endemic,420,TL,3.2,5,benthic invertivore,Demersal,Soft sediment,Low,Day,2,19.1455,26,Y,C/R,,,,,,,Y,,,,,,,,,,240,,Y,,,
Sillago sihama,37330006,Actinopterygii,Perciformes,Sillaginidae,,Sillago,sihama,Australia,Northern whiting,NW/SW,FL,0.00586,3.13,0,1,FishBase,Species specific,West/Southwest,,,Least Concern,23.64,"Australia/Bahrain/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Comoros/Mayotte/Cyprus/Djibouti/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Jordan/Kenya/Korea.(Democratic.People's.Republic.of)/Korea.(Republic.of)/Kuwait/Macao/Madagascar/Malaysia/Mauritius/Mozambique/Oman/New.Caledonia/Palau/Pakistan/Papua.New.Guinea/Philippines/Timor-Leste/Qatar/R̩union/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Tanzania,.United.Republic.of/Yemen",native,310,SL,,,,,,,,,,,Y,C/R,,,,,,,Y,230,,Y,,,,,,,,,,,,
Sillago vittata,37330013,Actinopterygii,Perciformes,Sillaginidae,,Sillago,vittata,Australia,Western school whiting,SW,TL,0.00851,3.09,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,29.23,Australia,endemic,300,SL,,,,,,,,,,,Y,C/R,,,,,,,Y,,,,,,,,,,,,,,,
Siphamia cephalotes,37327032,Actinopterygii,Perciformes,Apogonidae,,Siphamia,cephalotes,Australia,Wood's siphonfish,SE/SW/NW,TL,0.01549,3.07,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,,10,Australia,endemic,50,SL,3.4,2.588235,benthic invertivore,pelagic site attached,Soft sediment,Medium,Night,3,17.88962,10,N,,,,,,,,,,,,,,,,,,,,,,,
Siphonognathus attenuatus,37385004,Actinopterygii,Perciformes,Odacidae,,Siphonognathus,attenuatus,Australia,Slender weed whiting,SE/SW,TL,0.00389,3.12,,,FishBase,LWR estimates for this body shape,,,,Least Concern,12.47,Australia,native,120,SL,2.7,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,17.11084,19,N,,,,,,,,,,,,,,,,,,,,,,,
Siphonognathus beddomei,37385006,Actinopterygii,Perciformes,Odacidae,,Siphonognathus,beddomei,Australia,Pencil weed whiting,SW,TL,0.00389,3.12,,,FishBase,LWR estimates for this body shape,West/Southwest,,,Least Concern,12.47,Australia,native,120,SL,2.7,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,16.198,19,N,,,,,,,,,,,,,,,,,,,,,,,
Siphonognathus caninis,37385011,Actinopterygii,Perciformes,Odacidae,,Siphonognathus,caninis,Australia,Sharpnose weed whiting,SW,TL,0.00389,3.12,,,FishBase,LWR estimates for this body shape,,,,Least Concern,10.53,Australia,native,100,SL,2.7,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,18.68461,15,Y,B,,,,,,,,,,,,,,,,,,,,,,
Siphonognathus radiatus,37385007,Actinopterygii,Perciformes,Odacidae,,Siphonognathus,radiatus,Australia,Longray weed whiting,SE/SW,TL,0.00389,3.12,,,FishBase,LWR estimates for this body shape,,,,Least Concern,18.35,Australia,native,180,SL,2.7,3,Browsing herbivore,Demersal,Hard bottom,Medium,Day,1,18.29129,27,N,,,,,,,,,,,,,,,,,,,,,,,
Siphonognathus tanyourus,37385012,Actinopterygii,Perciformes,Odacidae,,Siphonognathus,tanyourus,Australia,Longtail weed whiting,SE,TL,0.00389,3.12,,,FishBase,LWR estimates for this body shape,,,,Data Deficient,11.53,Australia,native,110,SL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Solegnathus spinosissimus,37282029,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathinae,Solegnathus,spinosissimus,Australia,Spiny Pipehorse,TE,TL,5.00E-04,3.1,,,FishBase,LWR estimates for this (Sub)family-body shape,NSW,zooplanktivore,,Data Deficient,31.79,Australia/New.Zealand,native,490,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Sphaeramia nematoptera,37327119,Actinopterygii,Perciformes,Apogonidae,,Sphaeramia,nematoptera,Australia,Pajama cardinalfish,CS/Cocos.Keeling,TL,0.01549,3.07,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,,10,Papua.New.Guinea/Philippines/Tonga/Australia/Cocos.(Keeling).Islands/Fiji/Indonesia/Japan/Malaysia/New.Caledonia/Micronesia.(Federated.States.of)/Palau,native,85,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Sphaeramia orbicularis,37327184,Actinopterygii,Perciformes,Apogonidae,,Sphaeramia,orbicularis,Australia,Orbiculate cardinalfish,N/NW,SL,0.0676,2.809,,,FishBase,Species specific,,,,,11.03,,,100,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Sphyraena barracuda,37382008,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,barracuda,Australia,Great barracuda,NW/TE/N/CS/Lord.Howe.Island/Cocos.Keeling/Christmas.Island,FL,0.00617,3.01095,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,piscivore,,Least Concern,78.57,"American.Samoa/Antigua.and.Barbuda/Australia/Bahamas/Bahrain/Barbados/Bermuda/Brazil/Belize/Virgin.Islands.(British)/Myanmar/Cambodia/Cabo.Verde/Cayman.Islands/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Cook.Islands/Costa.Rica/Cuba/Dominica/Dominican.Republic/Fiji/French.Guiana/French.Polynesia/Djibouti/Gabon/Grenada/Guadeloupe/Guam/Guatemala/Guyana/Haiti/Honduras/Hong.Kong/India/Indonesia/Jamaica/Japan/Jordan/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Martinique/Mauritania/Mauritius/Mexico/Montserrat/Mozambique/Oman/Cura̤ao/Aruba/New.Caledonia/Vanuatu/Nicaragua/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Panama/Papua.New.Guinea/Philippines/Puerto.Rico/Qatar/R̩union/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Suriname/Thailand/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Turks.and.Caicos.Islands/Tuvalu/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Venezuela.(Bolivarian.Republic.of)/Wallis.and.Futuna/Samoa/Yemen",native,2000,TL,4.5,1,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,26.8812,79,Y,B,,,,,,,Y,,,,,,,,,,,,,,,
Sphyraena forsteri,37382005,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,forsteri,Australia,Blackspot barracuda,NW/N/CS/SE/SW,FL,0.00561,3.019,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,piscivore,,,43.75,"American.Samoa/Australia/Bahrain/Solomon.Islands/Cambodia/China/Cook.Islands/Fiji/French.Polynesia/Djibouti/Guam/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Jordan/Kuwait/Malaysia/Maldives/Mozambique/Oman/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/Tonga/United.Arab.Emirates/Tuvalu/Tanzania,.United.Republic.of/Samoa",native,750,TL,4.3,3,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,,44,Y,B,,,,,,,,,,,,,,,,,,,,,,
Sphyraena jello,37382004,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,jello,Australia,Pickhandle barracuda,NW/TE/N/CS/SE,TL,0.004,3.11,0,1.11152,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,piscivore,,,75.07,"Wallis.and.Futuna/Yemen/Australia/Bahrain/Bangladesh/Solomon.Islands/Myanmar/Cambodia/Sri.Lanka/China/Fiji/Djibouti/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Seychelles/Singapore/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/United.Arab.Emirates/Egypt/Tanzania,.United.Republic.of",native,1500,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Sphyraena novaehollandiae,37382002,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,novaehollandiae,Australia,Snook,SE/SW/TE/NW,FL,0.0296,2.464,0,1,FishBase,Species specific,South-East/West/Southwest/NSW,pelagic higher carnivore/piscivore/piscivore,,,55.07,Australia/Fiji/Hong.Kong/Japan/New.Caledonia/New.Zealand/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Pitcairn,native,1000,TL,4.5,1.727273,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,17.06253,55,Y,B,,,,,,,,,,,,,,300,,Y,,,,,,
Sphyraena obtusata,37382007,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,obtusata,Australia,Yellowtail barracuda,NW/SW/TE/N/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,TL,0.004,3.11,0,1.07168,FishBase,Species specific,Ningaloo/Pilbara/NSW/West/SW/SEQ,piscivore,,,25.15,Australia/Bahrain/Bangladesh/Solomon.Islands/Myanmar/Cambodia/Sri.Lanka/China/Cyprus/Fiji/Djibouti/Guam/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Japan/Kenya/Korea.(Republic.of)/Kuwait/Lebanon/Libya/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Pakistan/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/United.Arab.Emirates/Turkey/Egypt/Samoa/Yemen,native,550,TL,4.5,2,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,22.8712,28,Y,B,,,,,,,,,,,,,,,,,,,,,,
Sphyraena pinguis,37382001,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,pinguis,Australia,Striped barracuda,SW,SL,0.0283,2.736,,,FishBase,Species specific,West/Southwest,Piscivore,,,30.85,,,500,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Sphyraena putnamae,37382006,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,putnamae,Australia,Military barracuda,NW/N/CS,FL,0.00834,2.903,0,1,FishBase,Species specific,,,,,36,Australia/Bahrain/Fiji/French.Polynesia/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Japan/Jordan/Kuwait/Malaysia/Mozambique/Oman/New.Caledonia/Vanuatu/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Somalia/South.Africa/Thailand/United.Arab.Emirates/Tuvalu/Yemen,native,900,TL,4.5,2,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,,36,Y,B/C/R,,,,,,,,,,,,,,,,,,,,,,
Sphyraena qenie,37382009,Actinopterygii,Perciformes,Sphyraenidae,,Sphyraena,qenie,Australia,Blackfin barracuda,NW/TE/N/CS,TL,0.00555,3,0,1.11172,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,piscivore,,,76.05,American.Samoa/Australia/Bahrain/Cambodia/Fiji/French.Polynesia/Guam/India/Indonesia/Japan/Kuwait/Malaysia/Maldives/Mexico/Oman/New.Caledonia/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Seychelles/Somalia/South.Africa/Tonga/United.Arab.Emirates/Tuvalu/Egypt/Wallis.and.Futuna/Samoa,native,1700,TL,4.5,1,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,3,,76,Y,B,,,,,,,,,,,,,,,,,,,,,,
Sphyrna lewini,37019001,Elasmobranchii,Carcharhiniformes,Sphyrnidae,,Sphyrna,lewini,Australia,Scalloped hammerhead,NW/SW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling,TL,0.00255,3.13,0.32,1.305,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/NA,generalist carnivore,Conservation Dependent,Endangered,81.26,"Algeria/American.Samoa/Angola/Antigua.and.Barbuda/Argentina/Australia/Bahamas/Bangladesh/Barbados/Bermuda/Brazil/Belize/Virgin.Islands.(British)/Brunei.Darussalam/Myanmar/Cambodia/Cameroon/Cayman.Islands/Sri.Lanka/Chile/China/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Mayotte/Congo/Congo.(Democratic.Republic.of.the)/Cook.Islands/Costa.Rica/Cuba/Benin/Dominica/Dominican.Republic/Ecuador/El.Salvador/Equatorial.Guinea/Fiji/France/French.Guiana/French.Polynesia/Djibouti/Gabon/Gambia/Ghana/Gibraltar/Grenada/Guadeloupe/Guam/Guatemala/Guinea/Guyana/Haiti/Honduras/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Israel/Italy/C̫te.d'Ivoire/Jamaica/Japan/Jordan/Kenya/Korea.(Republic.of)/Liberia/Macao/Madagascar/Malaysia/Maldives/Martinique/Mauritania/Mauritius/Mexico/Monaco/Montserrat/Morocco/Mozambique/Oman/Namibia/Cura̤ao/Aruba/New.Caledonia/Nicaragua/Nigeria/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Pakistan/Panama/Papua.New.Guinea/Peru/Philippines/Portugal/Guinea-Bissau/Puerto.Rico/Qatar/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Sao.Tome.and.Principe/Saudi.Arabia/Senegal/Seychelles/Sierra.Leone/Singapore/Viet.Nam/Somalia/South.Africa/Spain/Western.Sahara/Suriname/Thailand/Togo/Tonga/Trinidad.and.Tobago/United.Arab.Emirates/Turks.and.Caicos.Islands/Tuvalu/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Uruguay/Venezuela.(Bolivarian.Republic.of)/Samoa/Yemen",native,4300,TL,4.1,3,higher carnivore,pelagic non-site attached,Hard bottom,Low,Day,2,,81,Y,C,,,,,,,,,,,,,,,,,,,,,,
Sphyrna mokarran,37019002,Elasmobranchii,Carcharhiniformes,Sphyrnidae,,Sphyrna,mokarran,Australia,Great hammerhead,NW/TE/SW/N/CS/SE,TL,0.00191,3.16,3.58,1.29,FishBase,Species specific,Ningaloo/Pilbara/Timor/SEQ,piscivore,Conservation Dependent,Endangered,86.03,"Albania/Algeria/Antigua.and.Barbuda/Australia/Bahamas/Bahrain/Bangladesh/Barbados/Bosnia.and.Herzegovina/Brazil/Belize/Virgin.Islands.(British)/Myanmar/Cambodia/Cabo.Verde/Cayman.Islands/Sri.Lanka/China/Colombia/Mayotte/Costa.Rica/Croatia/Cuba/Cyprus/Dominica/Dominican.Republic/Ecuador/El.Salvador/French.Guiana/French.Polynesia/Djibouti/Gambia/Ghana/Gibraltar/Greece/Grenada/Guadeloupe/Guatemala/Guinea/Guyana/Haiti/Honduras/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Iraq/Israel/Italy/Jamaica/Japan/Jordan/Kenya/Kuwait/Lebanon/Libya/Macao/Madagascar/Malaysia/Martinique/Mauritius/Mexico/Monaco/Montenegro/Montserrat/Morocco/Mozambique/Oman/Cura̤ao/Aruba/New.Caledonia/Nicaragua/Micronesia.(Federated.States.of)/Palau/Pakistan/Panama/Papua.New.Guinea/Peru/Philippines/Pitcairn/Guinea-Bissau/Puerto.Rico/Qatar/R̩union/Saint.Kitts.and.Nevis/Anguilla/Saint.Lucia/Saint.Vincent.and.the.Grenadines/Saudi.Arabia/Senegal/Seychelles/Viet.Nam/Slovenia/Somalia/South.Africa/Spain/Suriname/Syrian.Arab.Republic/Thailand/Trinidad.and.Tobago/United.Arab.Emirates/Tunisia/Turks.and.Caicos.Islands/Egypt/Tanzania,.United.Republic.of/United.States.of.America/Virgin.Islands.(U.S.)/Uruguay/Venezuela.(Bolivarian.Republic.of)/Yemen",native,6100,TL,,,,,,,,,,,Y,C,,,,,,,,,,,,,,,,,,,,,,
Sphyrna zygaena,37019004,Elasmobranchii,Carcharhiniformes,Sphyrnidae,,Sphyrna,zygaena,Australia,Smooth hammerhead,NW/SW,TL,0.0117,2.77,0,1.25,FishBase,Species specific,West/Southwest,,Conservation Dependent,Vulnerable,85.39,Albania/Algeria/Argentina/Australia/Bahamas/Bahrain/Bosnia.and.Herzegovina/Brazil/Virgin.Islands.(British)/Canada/Cabo.Verde/Sri.Lanka/Chile/China/Croatia/Cuba/Cyprus/Dominican.Republic/Ecuador/Fiji/France/Gambia/Gibraltar/Greece/Guinea/Haiti/Hong.Kong/India/Ireland/Israel/Italy/C̫te.d'Ivoire/Japan/Korea.(Democratic.People's.Republic.of)/Korea.(Republic.of)/Kuwait/Lebanon/Libya/Macao/Madagascar/Malta/Mauritania/Mauritius/Mexico/Monaco/Montenegro/Morocco/Mozambique/Oman/New.Zealand/Norfolk.Island/Palau/Panama/Peru/Philippines/Portugal/Guinea-Bissau/Puerto.Rico/Qatar/Russian.Federation/Saudi.Arabia/Senegal/Seychelles/Viet.Nam/Slovenia/South.Africa/Spain/Western.Sahara/Syrian.Arab.Republic/United.Arab.Emirates/Tunisia/Turkey/Turks.and.Caicos.Islands/Egypt/United.Kingdom.of.Great.Britain.and.Northern.Ireland/United.States.of.America/Virgin.Islands.(U.S.)/Uruguay,native,5000,TL,,,,,,,,,,,Y,C,,,,,,,,,,,,,,,,,,,,,,
Spiniraja whitleyi,37031006,Elasmobranchii,Rajiformes,Rajidae,,Spiniraja,whitleyi,Australia,Melbourne skate,SE/SE,TL,0.00302,3.21,,,FishBase,LWR estimates for this (Sub)family-body shape,South-East/South-East,,,,80.18,Australia,endemic,1700,TL,3.5,3.111111,higher carnivore,Demersal,Soft sediment,Low,Night,1,,80,Y,B,,,,,,,,,,,,,,,,,,,,,,
Spratelloides gracilis,37085030,Actinopterygii,Clupeiformes,Clupeidae,Incertae sedis,Spratelloides,gracilis,Australia,Slender sprat,NW,FL,0.0095,3,0,1,FishBase,Species specific,Ningaloo/Pilbara,invertebrate carnivore,,Least Concern,10,"American.Samoa/Australia/Bangladesh/Solomon.Islands/Brunei.Darussalam/Myanmar/Cambodia/Sri.Lanka/China/Christmas.Island/Fiji/Djibouti/Kiribati/Hong.Kong/India/Indonesia/Iran.(Islamic.Republic.of)/Israel/Japan/Jordan/Kenya/Korea.(Republic.of)/Malaysia/Maldives/Oman/New.Caledonia/Vanuatu/Norfolk.Island/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Saudi.Arabia/Singapore/Viet.Nam/Somalia/Thailand/Tokelau/Tonga/Egypt/Tanzania,.United.Republic.of/Wallis.and.Futuna/Samoa/Yemen",native,105,SL,3.4,1.666667,planktivore,pelagic non-site attached,Hard bottom,Low,Day,3,,15,N,,,,,,,,Y,,,,,,,,,,,,,,,
Spratelloides robustus,37085003,Actinopterygii,Clupeiformes,Clupeidae,Incertae sedis,Spratelloides,robustus,Australia,Blue sprat,SW/NW/N/CS/TE/SE/Christmas.Island/Cocos.Keeling,TL,0.00389,3.12,0,1.07619,FishBase,LWR estimates for this body shape,West/Southwest,zooplanktivore,,Least Concern,13.37,Australia,native,120,SL,3.4,1.666667,planktivore,pelagic non-site attached,Soft sediment,Low,Day,3,16.98011,15,Y,B/C/R,,,,,,,Y,,,,,,,,,,,,,,,
Squalus acanthias,37020008,Elasmobranchii,Squaliformes,Squalidae,,Squalus,acanthias,Australia,Whitespotted dogfish,SE,FL,0.00213,3.163,0,1,FishBase,Species specific,,,,Vulnerable,67.94,Albania/Algeria/Angola/Argentina/Australia/Belgium/Bosnia.and.Herzegovina/Brazil/Canada/Chile/China/Croatia/Cuba/Cyprus/Denmark/Faroe.Islands/Falkland.Islands.(Malvinas)/Finland/France/Georgia/Germany/Greece/Greenland/Iceland/Ireland/Israel/Italy/Lebanon/Latvia/Libya/Lithuania/Malta/Mexico/Monaco/Montenegro/Morocco/Namibia/Netherlands/New.Zealand/Norway/Poland/Portugal/Romania/Russian.Federation/Slovenia/South.Africa/Spain/Western.Sahara/Sweden/Syrian.Arab.Republic/Tunisia/Turkey/Ukraine/Egypt/United.Kingdom.of.Great.Britain.and.Northern.Ireland/Isle.of.Man/United.States.of.America/Uruguay,native,1600,TL,,,,,,,,,,,Y,C/R,,,,,,,,,,,,,,,,,,,,,,
Squalus albifrons,37020038,Elasmobranchii,Squaliformes,Squalidae,,Squalus,albifrons,Australia,Eastern Highfin spurdog,CS/TE/SE,TL,0.00331,3.09,,,FishBase,LWR estimates for this Genus-body shape,,,,Data Deficient,68.56,Australia,native,74,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Squalus edmundsi,37020046,Elasmobranchii,Squaliformes,Squalidae,,Squalus,edmundsi,Australia,Edmunds' spurdog,SW,TL,0.00331,3.09,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Near Threatened,69.13,Australia/Indonesia,native,700,TL,,,,,,,,,,,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
Squalus grahami,37020041,Elasmobranchii,Squaliformes,Squalidae,,Squalus,grahami,Australia,Eastern longnose spurdog,CS/TE/SE,TL,0.00331,3.09,,,FishBase,LWR estimates for this Genus-body shape,,,,Near Threatened,65.74,Australia,native,602,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Squalus megalops,37020006,Elasmobranchii,Squaliformes,Squalidae,,Squalus,megalops,Australia,Spikey dogfish,SE/SW,TL,0.0038,3.042,0,1.117318,FishBase,Species specific,West/Southwest,,,Data Deficient,68.63,Angola/Australia/Solomon.Islands/China/Mayotte/Congo/Congo.(Democratic.Republic.of.the)/Equatorial.Guinea/Fiji/French.Polynesia/Gabon/Hong.Kong/Japan/Korea.(Democratic.People's.Republic.of)/Korea.(Republic.of)/Macao/Madagascar/Mauritius/Mozambique/Namibia/New.Caledonia/Papua.New.Guinea/R̩union/South.Africa/Tonga/Uruguay/Yemen,native,720,TL,,,,,,,,,,,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
Squalus montalbani,37020047,Elasmobranchii,Squaliformes,Squalidae,,Squalus,montalbani,Australia,Philippine spurdog,SW/NW/CS/TE,TL,0.00331,3.09,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Vulnerable,68.45,Australia/Indonesia/Philippines,native,840,TL,,,,,,,,,,,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
Squalus nasutus,37020040,Elasmobranchii,Squaliformes,Squalidae,,Squalus,nasutus,Australia,Western longnose spurdog,SW,TL,0.00331,3.09,,,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,Data Deficient,60.79,Australia,native,499,TL,,,,,,,,,,,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
Squatina australis,37024001,Elasmobranchii,Squatiniformes,Squatinidae,,Squatina,australis,Australia,Australian angelshark,SW,TL,0.00724,3.04,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Least Concern,71.35,Australia,endemic,1520,TL,4,2.857143,benthic invertivore,benthic,Soft sediment,Low,Night,1,19.288,71,Y,B,,,,,,700,Y,,,,,,,,,,,,,,,
